variant,seed,arm,use_case,auc,wss95,f2_star,floor_f2
supplied,0,catboost,van_dis_2020,0.9289629629629629,0.7286814350712317,0.27829751634927635,0.03902016041621504
supplied,0,blend,van_dis_2020,0.9418981481481481,0.7154555083165514,0.37011106416183714,0.03902016041621504
supplied,1,catboost,brouwer_2019,0.9937956989247312,0.9337801484808784,0.4511134042709161,0.008233950436930596
supplied,1,logreg,brouwer_2019,0.9966774193548388,0.93644239458838,0.5879489605609307,0.008233950436930596
supplied,1,blend,brouwer_2019,0.9961935483870967,0.9324490254271276,0.5758504763106083,0.008233950436930596
supplied,1,catboost,leenaars_2020,0.9309155092592594,0.6148129935926107,0.6794217562022972,0.31946755407653904
supplied,1,logreg,leenaars_2020,0.9272690972222221,0.6172507822977218,0.6728510131371402,0.31946755407653904
supplied,1,blend,leenaars_2020,0.9392372685185184,0.6440664580539438,0.6957096389888413,0.31946755407653904
supplied,1,catboost,moran_2021,0.8538258258258259,0.2034136592937404,0.42242075252580785,0.09914255091103961
supplied,1,logreg,moran_2021,0.620045045045045,0.09226022506790149,0.13259844329427573,0.09914255091103961
supplied,1,blend,moran_2021,0.8217957957957958,0.23733372138144015,0.33903307766250645,0.09914255091103961
supplied,1,catboost,muthu_2021,0.8300229540918165,0.34184542860688594,0.5856386294796632,0.41511309967685805
supplied,1,logreg,muthu_2021,0.8200379241516966,0.24551867014019196,0.5864110226555407,0.41511309967685805
supplied,1,blend,muthu_2021,0.8446387225548901,0.3237476739858725,0.6058275098928879,0.41511309967685805
supplied,1,catboost,nelson_2002,0.8653776978417266,0.39134078212290496,0.7604166666666666,0.5899705014749262
supplied,1,logreg,nelson_2002,0.8929181654676259,0.4248603351955307,0.7740585774058578,0.5899705014749262
supplied,1,blend,nelson_2002,0.8963579136690647,0.46396648044692734,0.7782515991471216,0.5899705014749262
supplied,1,catboost,sep_2021,0.7526086956521739,0.187037037037037,0.5719557195571955,0.46511627906976744
supplied,1,logreg,sep_2021,0.7810326086956523,0.13148148148148145,0.6041666666666666,0.46511627906976744
supplied,1,blend,sep_2021,0.7751086956521739,0.17592592592592587,0.5849056603773585,0.46511627906976744
